q-max	action	timestep
2.910	FIRE	1392
2.667	FIRE	1419
2.298	LEFT	1444
2.186	LEFT	1590
1.763	NOOP	1636
1.886	NOOP	1641
2.196	NOOP	1791
2.372	NOOP	1863
3.214	LEFT	2232
6.000	NOOP	2410
2.528	RIGHT	2461
3.528	FIRE	2487
1.792	NOOP	52
2.056	LEFT	227
1.737	NOOP	253
2.596	FIRE	480
2.291	NOOP	538
2.642	LEFT	568
1.748	NOOP	711
2.668	NOOP	1302
2.826	LEFT	1649
2.297	FIRE	1673
2.553	FIRE	79
1.882	NOOP	96
2.579	FIRE	140
2.558	LEFT	282
1.835	NOOP	480
1.784	NOOP	611
1.797	NOOP	613
1.962	NOOP	676
2.384	LEFT	741
2.508	LEFT	810
3.249	NOOP	1015
2.850	LEFT	1084
3.071	FIRE	1097
2.753	NOOP	1119
3.022	FIRE	1190
3.022	FIRE	1289
2.820	NOOP	1494
2.764	RIGHT	1770
4.535	RIGHT	1999
1.795	NOOP	5
1.832	NOOP	150
2.568	LEFT	331
2.080	LEFT	368
2.387	LEFT	386
1.924	NOOP	483
2.046	RIGHT	646
1.979	NOOP	700
2.411	LEFT	774
2.131	NOOP	810
1.904	LEFT	888
2.063	LEFT	992
2.218	LEFT	1013
2.786	LEFT	1042
2.169	RIGHT	1202
2.637	RIGHT	1221
3.200	FIRE	1640
2.340	LEFT	264
1.840	RIGHT	311
1.724	NOOP	454
1.662	NOOP	520
2.067	NOOP	847
2.063	RIGHT	941
2.067	LEFT	1011
2.094	NOOP	1151
2.668	FIRE	1179
2.315	LEFT	1338
2.697	LEFT	1370
2.575	FIRE	1440
3.324	FIRE	1545
3.452	FIRE	1575
4.650	FIRE	1702
4.505	RIGHT	1703
4.448	RIGHT	1740
1.853	LEFT	10
1.616	NOOP	54
1.910	NOOP	260
2.262	LEFT	449
2.487	LEFT	605
2.450	LEFT	666
1.816	NOOP	713
2.490	LEFT	733
2.697	FIRE	862
2.313	LEFT	950
2.602	NOOP	958
2.538	NOOP	1025
3.117	FIRE	1245
2.611	LEFT	1364
2.661	NOOP	1397
2.437	LEFT	1460
2.482	RIGHT	1533
2.286	NOOP	1580
3.299	RIGHT	1940
3.574	FIRE	2078
1.927	NOOP	15
2.107	NOOP	81
2.301	LEFT	84
2.166	NOOP	395
1.654	NOOP	418
2.427	LEFT	498
1.599	NOOP	516
1.990	NOOP	619
2.584	LEFT	702
1.726	LEFT	708
1.848	NOOP	951
2.054	NOOP	1292
2.452	NOOP	1303
2.063	RIGHT	1396
1.905	NOOP	1455
2.530	FIRE	1476
2.462	FIRE	1955
3.022	FIRE	2037
2.840	NOOP	2086
2.389	FIRE	2110
1.699	NOOP	2
2.347	NOOP	186
2.196	NOOP	214
1.802	NOOP	233
2.525	NOOP	309
2.334	LEFT	362
1.930	NOOP	563
2.497	LEFT	585
2.126	NOOP	800
1.658	RIGHT	868
2.244	LEFT	1025
2.062	NOOP	1137
1.815	NOOP	1237
1.737	RIGHT	1289
1.789	NOOP	1371
3.079	RIGHT	1541
2.427	LEFT	1634
3.376	FIRE	1649
2.657	NOOP	1742
2.657	NOOP	1871
2.657	NOOP	1970
2.657	NOOP	1971
2.661	NOOP	2215
2.661	NOOP	2281
3.316	RIGHT	2527
3.377	LEFT	2571
1.952	NOOP	60
1.733	NOOP	104
2.503	LEFT	272
2.179	LEFT	364
2.068	LEFT	492
1.972	RIGHT	548
2.220	NOOP	650
2.171	NOOP	913
1.804	RIGHT	1077
2.382	LEFT	1160
1.996	NOOP	1242
2.493	NOOP	1332
2.421	LEFT	1356
2.688	FIRE	1406
2.239	NOOP	1419
2.511	NOOP	1421
1.985	NOOP	1492
2.759	LEFT	1524
1.928	FIRE	1539
1.948	RIGHT	1541
1.859	RIGHT	1594
1.830	LEFT	1610
2.248	RIGHT	1834
2.621	RIGHT	1836
2.745	LEFT	1837
2.083	FIRE	1883
3.212	FIRE	1989
2.532	LEFT	93
2.466	NOOP	228
1.844	RIGHT	313
2.076	LEFT	389
2.134	NOOP	510
2.346	NOOP	529
2.527	LEFT	540
1.605	NOOP	544
1.911	LEFT	566
2.072	LEFT	574
2.481	LEFT	586
2.510	LEFT	587
2.636	LEFT	592
2.587	RIGHT	651
1.962	RIGHT	695
2.154	NOOP	702
1.747	NOOP	723
1.924	NOOP	790
2.424	NOOP	938
2.538	LEFT	1040
2.990	FIRE	1183
3.508	FIRE	1277
2.938	FIRE	1286
2.502	FIRE	1333
2.546	RIGHT	1356
3.222	FIRE	1438
2.189	NOOP	21
1.990	NOOP	157
2.653	LEFT	244
1.768	RIGHT	253
1.955	RIGHT	258
1.721	NOOP	404
2.439	LEFT	440
2.549	FIRE	591
2.154	LEFT	671
1.896	RIGHT	723
2.004	LEFT	728
2.458	NOOP	774
2.604	RIGHT	872
2.296	LEFT	1106
3.278	FIRE	1232
3.312	FIRE	1321
2.243	RIGHT	1546
2.243	RIGHT	1689
2.243	RIGHT	1826
2.243	RIGHT	1843
3.332	FIRE	1997
2.505	LEFT	2070
2.606	RIGHT	2103
3.951	FIRE	2164
1.783	NOOP	6
2.357	NOOP	120
2.250	LEFT	314
1.994	LEFT	706
1.638	RIGHT	896
1.717	NOOP	960
1.898	RIGHT	1003
1.839	NOOP	1063
2.717	LEFT	1225
2.495	LEFT	1283
1.903	RIGHT	1294
2.741	FIRE	1324
2.378	LEFT	1385
2.062	LEFT	1471
2.248	RIGHT	1477
2.814	LEFT	1502
2.633	NOOP	1523
3.270	LEFT	1605
3.637	FIRE	1608
3.186	FIRE	1689
3.323	RIGHT	1774
2.556	FIRE	1842
2.024	RIGHT	134
2.638	FIRE	223
2.231	LEFT	286
1.877	NOOP	645
2.664	FIRE	835
1.947	NOOP	942
1.824	NOOP	1048
2.598	LEFT	1071
2.468	LEFT	1136
2.240	RIGHT	1211
1.905	LEFT	1335
2.023	NOOP	1340
2.517	NOOP	1469
2.541	NOOP	1533
2.279	RIGHT	1569
3.751	RIGHT	1724
5.209	FIRE	2032
5.190	LEFT	2189
5.190	LEFT	2362
5.190	LEFT	2506
5.190	LEFT	2556
5.190	LEFT	2594
5.190	LEFT	2647
5.190	LEFT	2709
5.190	LEFT	2719
5.190	LEFT	2788
5.190	LEFT	2895
5.190	LEFT	3110
5.190	LEFT	3173
5.190	LEFT	3329
5.190	LEFT	3333
2.376	FIRE	29
1.848	NOOP	146
2.646	FIRE	172
2.504	LEFT	265
2.483	LEFT	311
1.831	NOOP	413
2.259	FIRE	534
2.356	LEFT	537
2.536	LEFT	547
2.605	LEFT	614
2.632	LEFT	669
2.283	NOOP	693
2.422	NOOP	800
2.994	NOOP	1058
2.564	FIRE	1150
3.039	FIRE	1225
3.054	NOOP	1337
1.708	NOOP	43
1.773	NOOP	105
2.323	NOOP	129
2.520	LEFT	175
2.013	NOOP	193
1.627	NOOP	331
2.237	LEFT	502
2.613	FIRE	596
2.307	FIRE	693
2.042	NOOP	960
2.773	FIRE	1034
2.357	NOOP	1081
2.051	NOOP	1129
2.011	NOOP	1191
2.750	LEFT	1237
2.664	LEFT	1240
1.970	NOOP	1291
1.967	NOOP	1477
3.334	FIRE	1647
3.323	FIRE	1655
8.882	NOOP	1772
6.108	LEFT	1872
6.108	LEFT	1934
5.912	RIGHT	1947
5.535	LEFT	2221
1.848	NOOP	11
2.047	NOOP	121
2.062	LEFT	185
2.109	LEFT	281
2.481	LEFT	342
2.304	LEFT	459
2.519	FIRE	551
1.790	NOOP	605
1.927	NOOP	863
2.313	LEFT	1005
2.661	LEFT	1114
2.452	LEFT	1156
1.699	NOOP	1176
2.465	LEFT	1427
2.883	FIRE	1441
3.027	RIGHT	1461
2.476	NOOP	1594
3.110	FIRE	1627
2.550	NOOP	1669
3.112	NOOP	1676
2.974	NOOP	1772
2.564	FIRE	1828
2.782	NOOP	1898
2.912	FIRE	1933
2.004	NOOP	21
1.888	NOOP	68
2.244	RIGHT	83
1.603	NOOP	351
1.917	NOOP	369
2.442	LEFT	396
1.940	NOOP	429
2.456	LEFT	573
1.739	NOOP	580
2.671	FIRE	639
2.306	LEFT	763
2.587	NOOP	779
2.469	FIRE	892
1.804	NOOP	916
1.852	NOOP	920
1.657	NOOP	987
2.525	LEFT	1163
2.417	LEFT	1230
1.639	NOOP	1352
1.848	RIGHT	1368
1.670	LEFT	1392
1.813	LEFT	1394
1.913	RIGHT	1562
2.739	LEFT	1663
2.334	FIRE	1770
2.251	LEFT	1836
2.368	RIGHT	2014
1.629	RIGHT	2035
2.373	FIRE	25
2.394	LEFT	155
2.079	NOOP	238
2.230	NOOP	274
1.914	NOOP	388
2.123	LEFT	466
1.861	NOOP	740
1.941	NOOP	809
2.006	NOOP	873
2.163	NOOP	917
2.003	NOOP	1073
2.243	LEFT	1090
2.756	NOOP	1120
2.892	FIRE	1343
2.119	LEFT	1526
1.923	NOOP	1733
2.087	LEFT	1812
2.578	LEFT	1826
1.777	RIGHT	47
1.847	NOOP	50
2.503	LEFT	216
1.872	NOOP	231
1.743	NOOP	320
2.627	FIRE	372
1.595	RIGHT	507
1.920	RIGHT	633
2.014	NOOP	734
2.001	NOOP	807
1.719	NOOP	857
1.823	NOOP	899
2.152	LEFT	1099
2.667	NOOP	1227
2.258	NOOP	1415
2.558	FIRE	1436
1.967	RIGHT	1460
2.512	FIRE	1491
2.666	FIRE	1497
2.685	FIRE	1499
2.033	NOOP	1547
3.426	FIRE	1624
3.037	LEFT	1659
2.978	LEFT	1687
3.680	FIRE	1782
2.100	LEFT	18
2.584	LEFT	94
1.771	NOOP	256
1.997	NOOP	264
1.799	NOOP	334
2.399	LEFT	468
1.642	NOOP	486
1.745	NOOP	558
2.078	NOOP	729
2.217	NOOP	845
2.166	NOOP	953
3.350	FIRE	1017
3.310	FIRE	1316
1.035	RIGHT	1622
1.943	LEFT	1660
2.313	FIRE	1706
1.922	LEFT	1732
3.044	RIGHT	1794
2.954	FIRE	1809
2.601	RIGHT	1881
2.589	LEFT	1883
2.541	FIRE	1903
2.117	LEFT	19
2.146	LEFT	21
2.378	LEFT	228
2.698	FIRE	243
1.769	NOOP	307
1.743	NOOP	455
2.572	FIRE	500
1.879	NOOP	624
1.995	LEFT	635
2.144	LEFT	638
2.327	LEFT	715
2.105	NOOP	757
2.556	LEFT	836
2.093	NOOP	884
2.615	LEFT	1119
1.839	NOOP	1133
1.844	NOOP	1137
2.294	NOOP	1190
2.567	NOOP	1197
1.967	NOOP	1242
2.077	RIGHT	1310
2.130	NOOP	1585
2.421	NOOP	1707
2.083	FIRE	18
2.337	LEFT	30
2.551	FIRE	179
1.769	NOOP	215
2.530	NOOP	317
1.921	NOOP	340
2.502	FIRE	370
2.433	NOOP	373
2.091	NOOP	412
1.938	NOOP	473
2.051	NOOP	537
2.674	FIRE	626
2.575	LEFT	998
2.203	NOOP	1038
1.970	RIGHT	1204
2.152	NOOP	1260
2.790	NOOP	1279
3.112	FIRE	1394
2.876	RIGHT	1451
2.800	RIGHT	1489
3.059	FIRE	1609
2.871	RIGHT	1627
2.833	LEFT	1739
2.526	LEFT	1897
3.194	LEFT	1972
2.731	RIGHT	2080
2.772	FIRE	2083
2.673	FIRE	2142
2.214	NOOP	2259
2.263	NOOP	2266
2.867	RIGHT	2333
1.932	NOOP	290
2.190	LEFT	421
1.958	NOOP	544
2.068	NOOP	607
1.988	LEFT	642
2.077	RIGHT	679
2.653	FIRE	764
2.297	NOOP	929
2.777	FIRE	973
2.264	RIGHT	989
2.838	FIRE	1071
2.160	NOOP	1122
1.976	NOOP	1348
1.976	NOOP	1451
2.013	NOOP	1571
2.013	NOOP	1696
2.050	NOOP	1765
2.439	NOOP	1904
1.914	NOOP	2043
3.332	FIRE	2141
2.997	FIRE	2258
2.795	LEFT	2453
2.338	LEFT	39
2.575	FIRE	47
2.269	NOOP	182
2.411	NOOP	220
1.924	RIGHT	273
1.885	NOOP	301
1.614	NOOP	351
1.742	NOOP	429
2.112	LEFT	513
1.776	RIGHT	569
2.619	FIRE	595
1.870	NOOP	801
2.591	LEFT	950
1.795	RIGHT	1037
2.122	NOOP	1268
2.455	NOOP	1382
2.644	FIRE	1387
2.229	RIGHT	1662
2.260	RIGHT	1789
1.727	RIGHT	1917
2.329	LEFT	2054
1.804	NOOP	48
1.883	RIGHT	54
1.792	NOOP	88
2.340	NOOP	124
1.834	NOOP	262
1.693	RIGHT	293
1.809	NOOP	366
2.112	NOOP	659
1.973	RIGHT	748
1.800	NOOP	799
1.733	NOOP	855
1.892	NOOP	869
2.236	NOOP	885
1.834	NOOP	966
2.315	NOOP	1101
2.136	NOOP	1158
2.001	NOOP	1270
2.278	NOOP	1415
3.119	FIRE	1441
2.945	LEFT	1488
1.886	FIRE	1555
1.721	NOOP	71
2.528	LEFT	157
2.074	NOOP	560
2.398	NOOP	792
2.670	FIRE	888
2.597	LEFT	1071
2.677	LEFT	1074
1.829	LEFT	1082
2.755	FIRE	1128
2.546	RIGHT	1321
1.782	NOOP	1345
2.781	FIRE	1676
3.412	FIRE	1914
2.369	RIGHT	1960
3.178	LEFT	1996
1.834	NOOP	212
1.869	NOOP	363
2.418	FIRE	507
2.376	NOOP	566
2.437	LEFT	641
1.967	RIGHT	841
3.125	LEFT	950
2.341	RIGHT	1018
2.973	LEFT	1042
5.979	LEFT	1214
5.917	RIGHT	1240
5.407	RIGHT	1417
2.255	NOOP	104
2.822	FIRE	161
1.701	NOOP	273
1.682	NOOP	423
1.682	NOOP	561
1.682	NOOP	623
1.682	NOOP	745
1.682	NOOP	758
2.537	LEFT	933
1.806	NOOP	983
1.880	NOOP	1077
2.444	LEFT	1202
1.889	NOOP	1219
2.296	LEFT	1443
2.296	LEFT	1515
1.722	NOOP	1546
1.782	NOOP	1547
2.530	LEFT	1673
2.567	LEFT	1674
2.765	LEFT	1679
1.749	NOOP	4
2.562	FIRE	47
1.735	RIGHT	61
2.654	RIGHT	117
2.561	FIRE	162
1.879	RIGHT	278
2.111	LEFT	321
1.908	RIGHT	377
2.430	NOOP	562
2.236	LEFT	657
1.886	NOOP	710
1.739	RIGHT	756
1.725	NOOP	823
1.953	RIGHT	998
2.390	NOOP	1041
2.101	NOOP	1074
2.062	NOOP	1161
2.184	NOOP	1169
2.278	FIRE	1274
2.305	FIRE	1431
2.937	LEFT	1560
2.222	NOOP	1648
2.767	FIRE	1694
3.042	FIRE	1709
3.050	FIRE	1712
2.737	NOOP	1809
2.171	FIRE	1907
2.197	LEFT	2087
1.793	NOOP	4
1.913	NOOP	11
1.921	RIGHT	58
1.858	RIGHT	392
2.053	LEFT	473
2.676	FIRE	568
2.251	LEFT	800
2.096	RIGHT	912
1.698	NOOP	960
1.665	RIGHT	1090
1.888	NOOP	1145
2.350	NOOP	1206
1.769	NOOP	1223
2.583	LEFT	1281
1.877	NOOP	1807
2.304	NOOP	1839
2.126	NOOP	1894
2.922	FIRE	1996
2.945	RIGHT	2205
3.723	FIRE	2234
3.701	RIGHT	2274
6.721	LEFT	2371
4.031	FIRE	2416
1.887	NOOP	42
2.537	FIRE	64
1.839	NOOP	81
2.217	LEFT	106
1.943	NOOP	242
1.726	FIRE	350
1.952	NOOP	423
2.024	NOOP	468
2.482	LEFT	667
2.399	NOOP	726
2.605	NOOP	1052
2.552	FIRE	1104
1.971	NOOP	1133
2.543	NOOP	1484
2.530	NOOP	1532
2.547	NOOP	1534
2.391	NOOP	1595
2.537	FIRE	36
2.396	FIRE	77
2.017	NOOP	115
2.306	LEFT	133
1.889	NOOP	305
2.185	LEFT	316
2.070	NOOP	380
2.415	LEFT	404
2.653	LEFT	586
1.706	LEFT	590
2.485	LEFT	666
2.003	NOOP	1173
3.091	RIGHT	1398
2.304	NOOP	1547
1.678	FIRE	1987
3.070	FIRE	2009
1.695	RIGHT	121
1.713	RIGHT	128
1.811	NOOP	300
1.811	NOOP	332
1.811	NOOP	425
1.796	NOOP	493
1.796	NOOP	730
1.796	NOOP	819
2.387	FIRE	1063
2.568	LEFT	1185
2.755	FIRE	1249
2.100	LEFT	1466
2.637	LEFT	1878
2.703	LEFT	1882
2.235	NOOP	1903
1.992	NOOP	2076
2.684	FIRE	2127
2.378	NOOP	2162
2.001	NOOP	2204
2.959	FIRE	2241
2.126	NOOP	2333
2.207	NOOP	2338
2.675	RIGHT	2434
2.730	LEFT	2435
2.268	LEFT	2474
2.961	FIRE	2510
3.011	LEFT	2551
3.040	LEFT	2570
2.135	LEFT	2709
2.379	RIGHT	2719
2.467	RIGHT	2756
1.994	NOOP	225
2.549	LEFT	274
2.194	NOOP	333
1.859	RIGHT	477
2.141	NOOP	530
2.150	LEFT	736
2.907	FIRE	1131
2.641	LEFT	1159
2.779	RIGHT	1227
2.509	LEFT	1292
2.692	NOOP	1363
2.766	FIRE	1561
1.985	RIGHT	1834
2.551	RIGHT	1853
2.551	RIGHT	1855
2.551	RIGHT	2051
2.551	RIGHT	2097
2.551	RIGHT	2116
2.551	RIGHT	2300
2.551	RIGHT	2347
2.551	RIGHT	2384
2.551	RIGHT	2449
2.551	RIGHT	2481
1.900	NOOP	58
1.724	FIRE	70
2.320	NOOP	223
1.843	NOOP	380
1.524	RIGHT	426
1.917	LEFT	513
1.944	LEFT	514
1.982	NOOP	573
1.818	RIGHT	733
1.583	FIRE	747
2.016	NOOP	837
2.081	NOOP	1122
2.431	LEFT	1268
1.798	NOOP	1289
2.928	NOOP	1393
2.175	FIRE	1530
3.054	FIRE	1597
2.719	NOOP	1625
2.322	LEFT	1691
2.322	NOOP	1799
2.668	FIRE	1823
2.845	FIRE	1829
2.319	NOOP	1924
2.181	FIRE	2146
1.891	NOOP	12
2.293	NOOP	220
2.282	LEFT	328
2.569	FIRE	342
2.481	LEFT	465
1.661	NOOP	612
1.834	NOOP	649
2.227	NOOP	692
1.874	NOOP	829
2.502	FIRE	870
2.158	RIGHT	914
2.269	NOOP	1126
2.429	NOOP	1134
